name,smiles,Density,Vint,Veff,pc
SUJFUB,COC(=O)/C=C/C=C/C(=C/c1ccc([N+](=O)[O-])cc1)c1ccc(OC)cc1,1.2708,294.678,477.1236792,0.617613447
OWUXOU,CC(=O)C1C/C(c2ccc([N+](=O)[O-])cc2)=C\C(C)COC1=O,1.3526,238.642,372.1318815,0.641283405
IJIVEC,O=[N+]([O-])/N=c1\ccccn1O,1.6067,114.391,160.2339895,0.713899718
SOFQAF,CC1=CC23CCC(C)C2CCC3/C1=N\Nc1ccc([N+](=O)[O-])cc1[N+](=O)[O-],1.3136,287.608,467.9464928,0.614617279
EWENOM,CC1C(c2ccccc2)C([N+](=O)[O-])C(c2ccccc2)C(C#N)(C#N)C12CCCC(=O)C2,1.2212,346.877,580.8966885,0.597140605
GIYPAF,CC(=O)OCC(OC(C)=O)C(OC(C)=O)C(OC(C)=O)C(/C=N/Nc1ccc([N+](=O)[O-])cc1)[N-][N+]#N,1.3478,384.508,626.0890654,0.614142654
NADMEN,COc1ccc(N2C3=C(C(=O)CC(C)(C)C3)C(c3ccc([N+](=O)[O-])cc3)C3=C2C(=O)N(C)C3=O)cc1,1.3363,377.82,605.4042517,0.624078868
UNOWOK,O=[N+]([O-])c1ccc(CN2CCOCC2)cc1,1.329,174.069,277.5169258,0.627237418
FURBUP,CC1(C)c2ccccc2N(c2ccccc2)C12C=Cc1c(ccc3cc([N+](=O)[O-])ccc13)O2,1.2742,345.184,565.8225934,0.61005694
KICVUQ,COc1ccc(C2C([N+](=O)[O-])C(c3ccccc3)=CC2(C#N)C(N)=O)cc1,1.3173,287.592,457.7546779,0.628266654
LIGGAL,C=CC1CCC(C(Cc2ccc([N+](=O)[O-])cc2)(OC)C(C)OC)CC1,1.2074,284.344,477.5354967,0.595440552
ONONIP,CCOCN1C(=O)NC(C)=C(C(=O)OCC)C1c1ccc([N+](=O)[O-])cc1,1.3085,279.765,460.8600112,0.607049849
TORMUJ,CCC1C([N+](=O)[O-])C(c2ccccc2)C(C#N)(C#N)C(c2ccccc2)C1(C#N)C#N,1.2292,335.302,552.7505082,0.606606408
VETPAL,Cc1cc(OC(=O)c2ccc([N+](=O)[O-])cc2)cc2c1OC1(C2)C(C)CCCC1(C)C,1.234,322.914,550.6475896,0.586425885
JERHUK,O=[N+]([O-])C12OC1CCCC2c1ccccc1,1.3053,172.245,278.7252705,0.617974107
SIMYIX,O=[N+]([O-])c1ccc(N/N=C/c2ccc3c(c2)OCO3)cc1,1.3172,219.942,359.3952867,0.611977976
VAXKUC,CC(C)(C)OC(=O)Nc1cc(NC(=O)OC(C)(C)C)c([N+](=O)[O-])c(NC(=O)OC(C)(C)C)c1[N+](=O)[O-],1.2608,389.115,675.9451914,0.575660579
TUCROZ,O=[N+]([O-])c1ccc2[nH]cc(C(/C=C(\C#Cc3ccccc3)c3ccccc3)c3ccccc3)c2c1,1.2404,372.606,608.0228904,0.612815744
XAKLUR,CN(C)CCN(Cc1c2ccccc2cc2ccccc12)c1ccc([N+](=O)[O-])cn1,1.2826,322.587,518.1314448,0.62259684
SAYWIB,CCCCC1(C)C=C(c2ccccc2)C1COC(=O)c1ccc([N+](=O)[O-])cc1,1.2243,311.237,514.3049757,0.605160391
JECVAO,O=[N+]([O-])c1nccn1C[C@H](O)CN1CC1,1.4026,162.924,251.1038183,0.648831233
BAQMUB,CC(=O)CC(/C(=C\c1ccccc1O)[N+](=O)[O-])c1ccco1,1.3402,236.77,373.0774471,0.634640346
FABDOB,CN1CCCC2C(OC(=O)c3cc([N+](=O)[O-])cc([N+](=O)[O-])c3)CCCC21,1.3782,275.158,437.5528404,0.628856619
NTRACD,O=C(O)C[N+](=O)[O-],1.6882,74.753,103.2894848,0.723723234
ZOHBAB,C=CCC1(O)c2cccc3ccc4cccc(c4c23)C1OC(=O)c1ccc([N+](=O)[O-])cc1,1.3698,332.926,515.3779906,0.645984124
MPHFRN,O=C1O[C@@H](c2ccc([N+](=O)[O-])cc2)[C@H](C(=O)N2CCOCC2)C1=C(c1ccccc1)c1ccccc1,1.3569,378.408,592.5284123,0.638632667
NIJWEJ,CC(=O)Oc1c(C)c(C)c2c(c1C)CCC(C)(C(=O)OCCCO[N+](=O)[O-])O2,1.3204,304.915,496.9701626,0.613547901
XAKMEC,O=[N+]([O-])c1ccc(NCCNCc2c3ccccc3cc3ccccc23)c([N+](=O)[O-])c1,1.3873,326.24,498.1302707,0.65492908
TANPUT,O=C1C[C@H](c2cccc([N+](=O)[O-])c2)C(=O)N1,1.5174,166.042,240.8148044,0.689500799
LONCEZ,C=CC(Cc1cnc(-c2ccc([N+](=O)[O-])cc2)o1)c1ccc(C(=O)OC)cc1,1.3568,299.89,462.7864696,0.648009438
TABZII,CC1=NN(C(=O)c2ccc([N+](=O)[O-])cc2)[C@@H](c2ccccc2O)C1,1.3359,254.913,404.1256446,0.6307766
BUSJIJ,CCCCCCCCCCN/C=C1/C=C([N+](=O)[O-])C=CC1=O,1.1764,254.172,432.2223099,0.588058492
JUBDIT,O=[N+]([O-])CC1(O)CC(c2ccccc2)NC(c2ccccc2)C1,1.2777,249.268,405.6914456,0.614427548
FAHJON,COC(=O)C1(c2ccc([N+](=O)[O-])cc2)N=C(C(C)C)C(C#N)(C#N)C1(C#N)C#N,1.3375,308.244,484.3459951,0.636412819
KOHPAY,CC1(C)CC(=O)C(=CNc2ccc([N+](=O)[O-])cc2)C(=O)C1,1.3443,226.827,355.9005715,0.637332497
JUTDEJ,COC(=O)/C=C1\C(=O)N(Cc2ccccc2)c2nc3ccc([N+](=O)[O-])cc3nc2N1CCCN(C)C,1.3539,382.023,601.2410478,0.635390749
MBXHNO,COC(=O)CCCCC(O)C(COC(C)(C)C)[N+](=O)[O-],1.191,234.564,405.9730413,0.577782208
ZICNAD,O=[N+]([O-])c1ccccc1C1OCCC=C1C1=CCCC1,1.3227,216.661,340.3820009,0.636523081
QOFQIL,CC1(C)NC(c2ccc([N+](=O)[O-])cc2)NC1(C)C,1.2539,222.451,723.5144519,0.510566347
DIFQUF,CC(CO)(c1ccccc1)C(O)c1ccc([N+](=O)[O-])cc1,1.3722,229.929,347.4598657,0.661742615
ATUSAL,O=[N+]([O-])c1ccc(N(c2ccccc2)c2ccc(-c3cc(-c4ccccn4)nc(-c4ccccn4)c3)cc2)cc1,1.2958,417.838,667.9117932,0.625588595
TIVTUP,CC1(C)CCCC(C)(C)N1OC1C2CCC(C2)C1[N+](=O)[O-],1.2048,238.289,408.2721729,0.583652318
HUDKIB,O=[N+]([O-])c1ccc(COc2cccc3cccnc23)cc1,1.4033,220.988,331.4393259,0.666752503
RAMRUS,O=C(c1ccc([N+](=O)[O-])cc1)N1[C@@H]2COCOC[C@@H]21,1.4428,199.072,303.9383951,0.654974834
NOTNAO,CCC(C1Nc2ccccc2C12CCCCC2)[N+](=O)[O-],1.2231,222.267,372.2374239,0.597110838
JUPLAJ,Cc1ccc2c(C)c([N+](=O)[O-])cc(C(C)C)c2c1,1.2304,201.753,328.1330603,0.614851182
MEMDIS,O=[N+]([O-])c1ccc(C2=CO[C@@H]3O[C@H]2OC=C3c2ccc([N+](=O)[O-])cc2)cc1,1.5418,273.353,396.4248456,0.68954558
EROLON,CCN(CC)c1ccc(C2C([N+](=O)[O-])=C(NC)Oc3ccccc32)cc1,1.2707,282.46,461.5413924,0.61199278
SUVQOP,O=[N+]([O-])c1ccc2[nH]cc(CCCO)c2c1,1.3805,171.735,264.7394466,0.648694413
NEJGIS,O=[N+]([O-])c1ccc(C2NCC3OC(c4ccc([N+](=O)[O-])cc4)NCC3O2)cc1,1.4554,288.12,440.5629013,0.653981529
GAWBOW,CCOc1cc(/C=N/Nc2ccc([N+](=O)[O-])cc2)ccc1O,1.397,235.535,357.9220106,0.658062352
NOACTD,NC(=O)C[N+](=O)[O-],1.5912,76.044,108.5591076,0.700484756
BOTLEC,CCOC(=O)/C(=C\[N+](=O)[O-])c1cn(C)c2ccccc12,1.3496,215.182,337.2575206,0.638034697
FEQCAH,CC(C1c2ccccc2C(CC(=O)c2ccccc2)C1C(=O)c1ccccc1)[N+](=O)[O-],1.2893,334.588,532.1476718,0.628750284
KUQMOB,CCOC(=O)Cn1cc([N+](=O)[O-])ccc1=O,1.4369,170.703,261.2523682,0.653402689
WIWZAE,CCC(C(/N=C/c1ccc(OC)cc1)c1ccc(OC)cc1)[N+](=O)[O-],1.2215,277.328,465.1555495,0.596204862
BUGJIW,COCC1(C)CN(c2ccc(OCc3cccc([N+](=O)[O-])c3)cc2)C(=O)O1,1.3625,287.721,453.550551,0.634374712
HIBSIW,CO/N=C(\C)c1ccc([N+](=O)[O-])cc1NC1CCCCC1,1.2987,232.965,372.2934157,0.625756434
EVULOW,Cc1ccc(C(=C([N+](=O)[O-])[N+](=O)[O-])c2ccc(C)cc2)cc1,1.3273,235.808,372.9504632,0.632277
FIYBEU,COC1=NC(C(C[N+](=O)[O-])c2cccc3ccccc23)C(OC)=NC1C(C)C,1.2509,305.765,508.6866984,0.601087076
VALLIF,O=[N+]([O-])CC1OC(c2ccccc2)=Cc2ccccc21,1.3376,212.322,331.5855978,0.640323348
DUSCAY,CCOC(=O)C1=CC(C)(C(C[N+](=O)[O-])c2ccccc2)OC1=O,1.3695,249.125,386.9344565,0.643842893
QAMJOG,CO[C@@H]1[C@@H](O[N+](=O)[O-])c2ccccc2N1C(=O)OC(C)(C)C,1.2823,236.298,401.6060494,0.588382571
GOYZIG,C#CCC(OC(C)=O)c1ccc([N+](=O)[O-])cc1,1.3329,186.541,290.369917,0.642425365
ZEQPAP,C/C1=N/OC(=O)N(c2ccc(C)cc2)/C(c2ccccc2)=C\C(c2ccc([N+](=O)[O-])cc2)C1C,1.2917,365.157,585.1818465,0.624006029
PAVVEN,O=[N+]([O-])c1cccc2ccn([C@H]3C[C@H](O)[C@@H](CO)O3)c12,1.4605,208.919,316.1908285,0.660737065
MAZSIR,COc1cccc(OC)c1C(O)C[N+](=O)[O-],1.387,175.066,271.8731117,0.643925392
NEQFAS,CC(=O)N1CCCC1C1CCCN1c1c([N+](=O)[O-])cc([N+](=O)[O-])cc1[N+](=O)[O-],1.4595,292.073,447.2964033,0.652974175
NUDQAH,O=C1CCCC23CCCC2(O)C([N+](=O)[O-])C(c2ccccc2)C13,1.2617,246.727,414.7841839,0.594832227
QOTGEL01,O=[N+]([O-])c1ccc(NC2CCCCCCC2)nc1,1.2405,198.094,333.5225434,0.593944859
SISGUW,COCOC1CCCC(C2C(=O)CCc3c(OC)cccc32)C1[N+](=O)[O-],1.296,283.794,465.3372625,0.609867343
FAYPEB,CCCC1CCC2C(C)CCCC2N1C(=O)c1ccc([N+](=O)[O-])cc1,1.1954,280.021,478.1622168,0.585619253
DAXMUL,O=[N+]([O-])c1ccc(N[C@H]2OC[C@@H](O)[C@H](O)[C@H]2O)cc1,1.5512,199.256,289.133226,0.689149437
ATYRAN,CC(=O)NC(Cc1ccc(O)cc1)C(=O)Nc1ccc([N+](=O)[O-])cc1,1.3924,267.691,409.2069753,0.654170178
HOHMEW,CCN(CC)c1ccc(/N=N/c2ccc([N+](=O)[O-])cc2)c(C)c1,1.2367,255.333,419.1563146,0.609159378
CUNGAT,CN/C=C/[N+](=O)[O-],1.4094,80.491,120.2302294,0.669473895
FAJYIY,C=C(c1ccc(N(C)C)cc1)c1ccc([N+](=O)[O-])cc1,1.2474,220.335,356.9360492,0.617295452
EKAHOP,O=[N+]([O-])c1ccc(C2=NO[C@@H]3CCC[C@H]23)cc1,1.4184,179.896,271.7146122,0.662077017
ULURAX,CN(C)C(=O)C(CC(C)(C)[N+](=O)[O-])C(O)c1ccccc1,1.1869,238.573,411.5584326,0.579681963
BIJLAJ,C=C(C)C(C)C(Nc1ccc([N+](=O)[O-])cc1)C(=O)OCC,1.2602,236.523,384.9639066,0.614403054
XEPYUN,CC1(C)OC2C(=O)C(O1)C(c1ccco1)C([N+](=O)[O-])C2O,1.3977,218.082,352.9649459,0.617857389
BAMCUP,CCOC(=O)CN1CN/C(=N\[N+](=O)[O-])N(CC2CCCO2)C1,1.3465,237.273,388.6707602,0.610472987
NPHDZA,CC/C(C)=N/Nc1ccc([N+](=O)[O-])cc1,1.2631,167.7,272.2757896,0.615919617
HICFAA,CCN(CC)c1ccc2c(c1)Oc1ccc([N+](=O)[O-])cc1C21OC(=O)c2ccccc21,1.3705,321.188,504.2228897,0.636996072
GAWWAF,CCOC1(C)CC2N(c3ccc([N+](=O)[O-])cc3[N+](=O)[O-])N=C(c3ccccc3)CC2(C)O1,1.3368,337.257,546.7875613,0.616797133
GIBZAV,O=C(Cc1ccccc1)N/N=C/c1ccccc1[N+](=O)[O-],1.327,224.433,354.264284,0.633518563
MAYKAB,C#CCN1[C@@H](C[N+](=O)[O-])[C@@H]2OC(C)(C)O[C@@H]2[C@H]1[C@H](C)O,1.2846,222.398,367.3036513,0.605488127
NUCDEW,Cc1ccc2c(c1)[C@@](C[N+](=O)[O-])(C(C#N)C#N)C(=O)N2,1.3695,211.526,327.4823124,0.645915801
FAGWEP,O=C1CCCC(C(CC2OCCO2)[N+](=O)[O-])C1,1.3655,186.513,295.6496398,0.630858202
VEWMES,CC1(C)OC(=C(C#N)C#N)C(C#N)=C1/C=C/c1ccc([N+](=O)[O-])cc1,1.3146,268.868,419.4965886,0.640930123
VEVLEP,O=[N+]([O-])c1ccc(NCNc2ccc([N+](=O)[O-])cc2)cc1,1.1348,219.399,421.5680036,0.520435607
MIFZUZ,CCOC(=O)C1(O[N+](=O)[O-])C(=O)C2CC3CC(C2)CC1C3,1.3652,221.384,361.4119006,0.612553155
CUXNOY,O=[N+]([O-])c1cc2c(O)c(c1)COCCOCCOCCOCCOC2,1.3547,270.257,437.7874173,0.617324732
PUXQUW,CCC1=C(C#N)C(=O)N(CC)C(=O)/C1=N\Nc1ccc([N+](=O)[O-])cc1,1.4325,265.282,395.4284524,0.670872312
JUTGEK,O=[N+]([O-])CC[N+](=O)[O-],1.6195,85.98,123.0629251,0.698666962
AVALEQ,C[C@H]1C(=O)C=CN2c3cccc([N+](=O)[O-])c3C=C[C@H]12,1.4121,196.102,301.1503477,0.651176402
FONYUF,Cc1ccc2c(c1)C1CC(C(=O)OC(C)(C)C)=CC1([N+](=O)[O-])O2,1.2587,248.017,418.3840243,0.592797491
OBUXOA,CCCNc1ccc(C#N)cc1[N+](=O)[O-],1.294,165.291,263.1872962,0.628035632
ROGVAL,CCOC(=O)[C@]1([N+](=O)[O-])C[C@H]1c1cccc([N+](=O)[O-])c1,1.5099,213.089,308.022698,0.691796421
JOXNOB,CCOC(=O)C1=C(C)NC(Nc2ccccc2)=C(C#N)C1c1ccc([N+](=O)[O-])cc1,1.2954,318.554,518.0862472,0.614866736
TACSAV,NC(=O)COC(=O)c1ccc([N+](=O)[O-])cc1,1.5006,167.949,247.9317202,0.677400213
NOZZAD,COC(=O)C(C(=O)OC)C(C1COC(C)(C)O1)C(C)(C)[N+](=O)[O-],1.3304,256.154,415.82698,0.616011015
CEWLOI,COC1(OC)C2CC(=O)CC1C([N+](=O)[O-])=C(NCc1ccccc1)N2,1.282,266.714,449.6678389,0.593135592
OKAQEZ,CC1=C(C(=O)OCc2ccccc2)C(c2cc([N+](=O)[O-])cc([N+](=O)[O-])c2O)C2=C(CCC(C)(C)C2=O)N1,1.3633,387.364,617.7633771,0.627042674
ZURLOP,CCCCn1cc(C(=O)CC(C)(C)C(C)(C)[N+](=O)[O-])cn1,1.1795,243.671,415.5929088,0.586321361
DAFBOB,CN1CCC/C1=C\[N+](=O)[O-],1.3865,111.938,170.16117,0.657835157
PUCRIP,CC1CN2c3ccc([N+](=O)[O-])cc3CC3(C(=O)NC(=O)NC3=O)C2C(C)O1,1.3155,276.31,472.2676142,0.585070819
JITXAM,COc1c2c(cc3c1C1C([N+](=O)[O-])C4c5c(cc6c(c5OC)OCO6)CCN4N1CC3)OCO2,1.4961,343.506,520.732587,0.65965912
SUKKIU,CC1(C)C2CCC1(C)C(NC(=O)c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1)C2,1.3235,268.185,435.5679405,0.61571336
DAYYUY,O=[N+]([O-])/C=C/c1c2c(cc3c1OCC3)OCC2,1.445,178.013,267.8436417,0.664615366
UKEPIK01,CCC1C(=O)Oc2ccccc2C1C[N+](=O)[O-],1.3864,182.738,281.5790903,0.648975745
OJOCEW,O=[N+]([O-])C12CN(Cc3ccccc3)CC1C1CN(Cc3ccccc3)CON1c1ccccc12,1.2834,359.038,590.3011714,0.608228507
EROXEP,CC(C)(C)c1ccc(C(=O)CC(C[N+](=O)[O-])c2ccc(C(C)(C)C)cc2)cc1,1.148,320.363,551.4557422,0.580940546
CAJGEB,C=C1CCC2CCCCC23C(=O)OC(OCc2ccc([N+](=O)[O-])cc2)C13,1.3023,278.045,455.4219062,0.610521796
JERHIX,O=[N+]([O-])CC(O)C(O)C(O)C(O)CO,1.5307,153.821,228.9811958,0.671762585
TIJJED,CN(C)CCN(Cc1cc([N+](=O)[O-])cc(C(C)(C)C)c1O)Cc1cc([N+](=O)[O-])cc(C(C)(C)C)c1O,1.185,402.68,703.8689717,0.572095115
REZFUA,CN(C(=O)c1ccccc1)c1ccc([N+](=O)[O-])cc1,1.327,202.879,320.4630038,0.633080879
HIGSIZ,N#CCN(CC#N)[N+](=O)[O-],1.5014,110.226,154.8817811,0.711678283
GEMSID,CCOC(=O)c1[nH]c2ccccc2c1C(c1ccc([N+](=O)[O-])cc1)c1c(C(=O)OCC)[nH]c2ccccc12,1.3514,397.658,628.1309025,0.633081414
PIMKOL,O=[N+]([O-])O[C@H]1CO[C@H]2[C@@H]1OC[C@H]2O[N+](=O)[O-],1.6999,160.686,230.5713307,0.696903641
IQOSEN,COC1CC(C[N+](=O)[O-])C2OC(c3ccccc3)OCC2O1,1.3293,234.07,386.1631886,0.606142706
VOVHAR,N=c1oc2ccccc2cc1-c1ccc([N+](=O)[O-])cc1,1.4463,207.503,305.492925,0.679239953
RIYNOD,C=C(CC(O)c1ccc([N+](=O)[O-])cc1)C(C)NC(=O)N(C)C,1.276,246.188,399.7324562,0.615881938
SATRIO,CC(=O)NCN(CN(CN(CNC(C)=O)[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],1.5195,253.327,384.805783,0.658324306
NAQNOJ,CCC(C)C(OCc1ccccc1)C1C(C(=O)NCC(=O)[O-])[NH2+]C(c2ccccc2)C1[N+](=O)[O-],1.2658,371.724,615.5702853,0.603869304
JUVPAR,CC1=C(C(=O)OCc2ccc([N+](=O)[O-])cc2)N2C(=O)C(C)(C)C2O1,1.3477,254.044,409.2057941,0.620822099
YOWLUS,CCNC1=NC(OC)=NC(=C([N+](=O)[O-])[N+](=O)[O-])N1,1.5493,185.714,276.6108221,0.67139094
VIYBAI,C=C=Cc1c2ccccc2c(Cc2cn(Cc3ccc([N+](=O)[O-])cc3)nn2)c2ccccc12,1.3359,347.769,537.1978546,0.647376003
JOCZAD,COc1nc(NCc2ccco2)nc(C(CCC(C)=O)([N+](=O)[O-])[N+](=O)[O-])n1,1.4281,281.362,441.9910528,0.636578497
PEFXED,O=C1CCCC(C2CC2/C=N/Nc2ccc([N+](=O)[O-])cc2[N+](=O)[O-])O1,1.4451,261.637,400.0183087,0.654062562
DUMPEG,O=[N+]([O-])OCC1(CO[N+](=O)[O-])COC1,1.5584,146.32,221.6759817,0.660062488
SUJDEJ,N#CC1=C(N)OC2=C(C(=O)CCC2)C1c1cccc([N+](=O)[O-])c1,1.4504,239.54,356.1755793,0.672533475
GAZPII,CC12CCCC(C1)C(c1ccccc1)N([N+](=O)[O-])C2c1ccccc1,1.2241,271.447,456.0630518,0.59519621
XUCVEZ,O=[N+]([O-])C1C(c2ccccc2)c2ccccc2C12COc1ccccc1N2,1.3386,281.716,444.2802716,0.634095228
CADHUN,CC(=O)C1(C(O)c2ccc([N+](=O)[O-])cc2)CO1,1.4122,182.485,278.7622273,0.654625993
BAPXIB,COC(=O)[C@H]1C[C@@H](C(=O)OC)N(O)[C@H]1c1ccc([N+](=O)[O-])cc1,1.475,244.375,364.876884,0.669746456
RIZHAK,CC(C)=CCC/C(C)=C/CN1COCN(C)/C1=N/[N+](=O)[O-],1.2133,240.779,405.3775211,0.593962387
TAJKEU,CCC(CC)(c1ccc([N+](=O)[O-])cc1)C(CC)(CC)c1ccc([N+](=O)[O-])cc1,1.2506,316.064,510.1636568,0.619534527
OLAXUV,COc1ccc(C2CC(C)(O)OCC2[N+](=O)[O-])cc1,1.329,207.254,333.7576998,0.620971442
RIFXEJ,COC(=O)C1(C(C[N+](=O)[O-])c2ccccc2)CCCC1=O,1.3207,228.513,366.0319399,0.624297978
HITMUS,C/C(C[N+](=O)[O-])=C(/C)C[N+](=O)[O-],1.3521,135.181,213.7791381,0.632339531
REBPEU,CC[C@@H]([C@H]1NC(C#N)=C(C#N)N(CC)[C@@H]1OC)[N+](=O)[O-],1.3143,221.792,352.6808881,0.628874451
UBATOI,Cc1ccc([C@@H]2CN(C)C[C@@]2(CO)[N+](=O)[O-])cc1,1.2282,199.576,338.193105,0.590124391
QOLXIY,CCN(CC)[N+](=O)[N-]Oc1ccc([N+](=O)[O-])cc1[N+](=O)[O-],1.4561,221.094,341.0913948,0.648195772
QOCNUT,Cc1cnc(C)c(Cc2c[nH]c3cccc([N+](=O)[O-])c23)n1,1.3623,221.646,343.885083,0.644535081
CECMOM,C#Cc1ccc([N+](=O)[O-])cc1,1.3558,120.968,180.0865809,0.671721343
GOLYAH,CC1C=C2C(=O)C3C4C=CC(C4)C3C2C([N+](=O)[O-])C1,1.3151,202.949,327.1964661,0.620266479
SAGSAV,CC(C)NC1=[N+](C(C)C)[C@]2(C([N+](=O)[O-])=CC([N+](=O)[O-])=CC2=[N+]([O-])[O-])N(C(C)C)C(=O)N1C(C)C,1.3524,370.718,590.8962149,0.627382594
IPOXAZ,CC(C)N1O[C@@H]1c1ccc([N+](=O)[O-])cc1,1.2978,165.456,266.2548975,0.621419555
NILNOL,CC/C(=C\C1OC2OC(C)(C)OC2C2OC(C)(C)OC12)[N+](=O)[O-],1.2828,249.102,426.0853282,0.584629377
SEKGUL,CC(=O)NC(C)(C)CC(C)(C)[N+](=O)[O-],1.1416,165.789,294.0259036,0.563858483
DIWSUY,CCCC(=O)Nc1cc([N+](=O)[O-])c(C(=O)OC)cc1C,1.348,219.116,345.0622355,0.63500429
MADKUZ,CC(C)([C@@H](O)c1ccncc1)[N+](=O)[O-],1.3505,155.113,241.1095194,0.643330053
MUDWIR,CN(C)C(=C(C=C1C(=O)OC(C)(C)OC1=O)[N+](=O)[O-])N(C)C,1.3399,239.246,388.0732413,0.616497028
GEVSOS,COC(=O)C(/C=C/[N+](=O)[O-])=C(/C)N,1.4412,144.461,214.3893789,0.673825358
HAZZUD,COC(=O)C1(O)C(N2CCCC2)=NN(c2ccc([N+](=O)[O-])cc2)C1c1ccccc1,1.4001,319.444,486.4724435,0.656653844
NANSAZ,N#CCC/C(=C(/CCO)c1cccc([N+](=O)[O-])c1)c1ccccc1,1.2846,264.638,416.4190966,0.635508799
BESZIK,CCCCc1c(-c2ccccc2)oc2ccc([N+](=O)[O-])cc12,1.3059,238.131,375.2796328,0.634542829
KEPFER,COc1ccccc1-c1cc(CN2CCN/C2=N\[N+](=O)[O-])no1,1.4723,239.834,357.6695361,0.670546345
YOQVAE,O=C(O)CCCNc1c([N+](=O)[O-])c(=O)oc2ccccc12,1.4701,220.113,329.9167892,0.667177323
LOCWOS,CCOC(=O)Cc1c(-c2ccccc2)c([N+](=O)[O-])c2n1CCCN2,1.3503,256.58,404.7736248,0.633885175
XENJOQ,CC(=O)C1=C(C)NC(C)=C(C(C)=O)C1c1ccc([N+](=O)[O-])o1,1.3745,222.367,660.0325728,0.559461238
BAYLAP,COC(=O)/C(=C/CCC(C)(C)[N+](=O)[O-])NC(=O)OCc1ccccc1,1.3003,276.943,447.1702023,0.619323467
PEFCIM,CCC(C(O)c1ccc([N+](=O)[O-])cc1)C(O)C(C)OC,1.2705,226.114,370.0791499,0.610988217
TECPUM,CC1(C)COC(CC(C(Nc2ccccc2)c2ccccc2)[N+](=O)[O-])OC1,1.2593,296.566,488.1571355,0.607521592
DUVVOG,C=C1CC(C(=O)OC)(C(=O)OC)C(C2COC(C)(C)N2C(=O)OC(C)(C)C)C1(C)[N+](=O)[O-],1.3081,354.201,579.1480944,0.611589684
BIKKUE,Cc1ccc(C(=O)/C(=C/[N+](=O)[O-])Nc2ccccc2)cc1,1.2928,227.933,362.357669,0.629027669
ZUZFEH,CC1=C(C=O)CC([N+](=O)[O-])C(c2ccco2)C1,1.3366,184.242,292.0703657,0.630813741
YEFYEO,O=[N+]([O-])CC1(O)COC2C(O)COC21,1.5375,146.474,221.4766652,0.66135184
ZOMGAJ,CN1CCC2(CC1)CC(c1ccccc1)NC(c1ccc([N+](=O)[O-])cc1)O2,1.2874,291.464,473.6329314,0.615379507
JESHAR,COC(=O)C1(C(=O)OC)C(c2cccc3ccccc23)C1[N+](=O)[O-],1.4119,254.804,387.0576881,0.658310138
XAXRIX,C#CCN(Cc1ccc([N+](=O)[O-])o1)c1ccc(C)cc1,1.313,219.604,341.6060887,0.642857394
AREJEO,O=[N+]([O-])[C@@H]1CCc2ccccc2/C1=N/O,1.4213,158.59,240.764383,0.658693774
FEGTIU,O=C(ON=C1CCC(c2ccccc2)CC1)c1ccc([N+](=O)[O-])cc1,1.3256,268.139,423.5765893,0.633035458
QAZCAW,O=[N+]([O-])C1=CCCCC1c1ccccc1,1.2491,164.708,270.0015534,0.61002612
SIKCAT,CCOC(=O)C1=C(N)Oc2c(oc(CO)cc2=O)C1c1cccc([N+](=O)[O-])c1,1.4703,285.355,438.3209951,0.651018325
FAHLAB,CC(C)C(O)C(C1CCOC(c2ccccc2)O1)[N+](=O)[O-],1.2414,232.314,394.8064766,0.588424998
DUMPAC,CN(CC1(CN(C)[N+](=O)[O-])COC1)[N+](=O)[O-],1.443,174.464,269.3974458,0.647608219
DEQPUN,CC1=Nc2ccccc2CN=C1c1cccc([N+](=O)[O-])c1,1.3364,222.168,346.8084029,0.640607315
KERYIP,O=C(OC1CC2C3CC4C5CC(C14)C2C53)c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1,1.4868,272.958,413.381381,0.660305501
CURNIO,N#C/C(=C\c1cccc([N+](=O)[O-])c1)C(=O)NCc1ccco1,1.4214,232.681,347.0681523,0.670418759
